At Rest Pulse Time (Seconds),At Rest Pulse Amplitude (amps),Propofol Sedation Pulse Time (Seconds),Propofol Sedation Pulse Amplitude
5.15625,0.058274258,4.984,0.062393148
8.59765625,0.006163547,10.4,0.915652883
25.0625,0.009828331,18.37,1.58301679
31.25390625,0.008801816,32.422,0.051444651
36.87109375,0.011427915,35.664,0.106322291
41.51953125,0.022795082,44.51,0.958230967
53.6953125,0.005731067,58.426,0.143551893
62.8984375,0.007806437,68.102,0.050483734
71.51953125,0.007005706,82.634,0.839456573
79.0703125,0.0183708,92.054,0.159516636
94.83984375,0.013228403,97.66,0.044025261
112.0117188,0.004853657,109.646,0.686870481
132.6875,0.025097193,127.782,0.27883304
156.6640625,0.013434396,146.236,0.05266763
174.8164063,0.005761325,161.082,0.092652356
195.4179688,0.028561047,165.88,0.043129957
210.4140625,0.007799916,167.78,0.048666694
224.3984375,0.007277541,183.36,1.023250664
238.9453125,0.007606362,190.472,0.053994576
259.5507813,0.019508642,196.088,0.090590234
281.84375,0.004857687,205.512,0.044066733
287.5976563,0.008087373,213.086,0.188075875
309.0742188,0.024127016,222.612,0.476841195
334.0625,0.007739447,233.334,0.041411549
346.921875,0.004320329,243.612,0.442184941
364.453125,0.004407873,250.8,0.163858659
391.2109375,0.006647041,274.016,0.105631713
408.1484375,0.005819604,278.518,2.900932004
459.6796875,0.005515504,288.278,1.403380764
470.2460938,0.006894958,301.418,1.627936477
478.8867188,0.004053692,306.704,0.305438945
502.640625,0.005266692,313.008,2.066935285
530.3203125,0.00430213,320.954,0.047871174
579.9453125,0.004317124,322.726,0.543620418
904.0273438,0.004631209,325.128,0.057529327
940.3242188,0.013340496,326.698,0.038152208
1138.851563,0.004127505,329.268,0.216354586
1531.0625,0.012200612,335.002,1.277677836
1564.457031,0.031023851,347.814,0.239777012
1587.03125,0.006371145,351.652,0.04321563
1602.472656,0.010421676,353.842,0.077115468
1608.664063,0.007783985,363.184,0.092054666
1619.003906,0.005111136,366.26,0.055666385
1626.066406,0.014191844,372.52,0.083509187
1644.160156,0.047246992,381.648,1.082676685
1648.542969,0.010647404,387.282,0.065865404
1672.019531,0.004524651,399.992,1.187351091
1685.511719,0.006003615,411.006,1.023822461
1697.128906,0.008229339,417.042,0.489837059
1715.074219,0.008442636,429.678,0.204923289
1724.941406,0.012905999,442.95,0.181242154
1756.535156,0.007862555,452.408,0.079531283
1813.574219,0.006707307,459.214,0.227721159
1828.597656,0.004987336,460.806,0.413416824
1851.328125,0.008682393,465.9,0.167944328
1885.253906,0.004827805,471,0.684448764
1903.097656,0.006157117,475.33,0.246083927
1971.113281,0.004983796,482.052,0.548767998
2006.96875,0.006250383,493.516,0.04657774
2045.644531,0.007111143,498.976,0.07447503
2075.160156,0.012724224,507.584,0.100357311
2085.964844,0.029789463,523.976,0.188209416
2115.550781,0.008157653,543.088,0.039296036
2143.496094,0.018309145,547.218,0.360749053
2179.648438,0.006657192,560.934,0.797379682
2192.589844,0.005849798,573.59,0.111362719
2199.433594,0.03383137,580.546,0.068442066
2211.246094,0.006346204,589.92,1.105170228
2221.207031,0.006463309,601.024,0.089680686
2230.488281,0.006146876,608.814,0.035716888
