Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Locomotion,Arm Motion,Arm Object
0,-870,532,137,305,90,471,0,0,0
33,-881,619,268,-841,180,539,0,0,0
67,-871,373,230,-1483,247,394,0,0,0
100,-906,313,233,-1210,291,251,0,0,0
133,-917,302,240,-1020,287,202,0,0,0
167,-925,228,304,-588,168,114,0,0,0
200,-921,271,285,-51,-28,-24,0,0,0
233,-957,356,264,139,-57,-135,0,0,0
267,-914,401,259,166,-83,-155,0,0,0
300,-898,419,266,63,8,-127,0,0,0
333,-896,432,297,-59,51,-79,0,0,0
367,-858,415,295,-89,22,73,0,0,0
400,-828,406,294,-88,82,109,0,0,0
433,-834,426,315,-201,61,102,0,0,0
467,-838,421,319,-302,86,192,0,0,0
500,-835,394,301,-311,87,284,0,0,0
533,-836,388,289,-319,77,327,0,0,0
567,-839,381,296,-374,87,314,0,0,0
600,-847,383,280,-342,68,312,0,0,0
633,-850,391,239,-272,109,407,0,0,0
667,-871,326,266,-433,144,358,0,0,0
700,-860,341,270,-364,164,257,0,0,0
733,-847,373,259,-277,193,286,0,0,0
767,-838,344,256,-418,238,187,0,0,0
800,-844,342,254,-422,305,200,0,0,0
833,-869,372,281,-394,368,129,0,0,0
867,-888,389,289,-360,358,100,0,0,0
900,-921,406,297,-398,378,76,0,0,0
933,-907,414,307,-347,367,100,0,0,0
967,-889,416,319,-402,370,66,0,0,0
1000,-858,422,313,-482,417,92,0,0,0
1033,-825,425,314,-570,444,92,0,0,0
1067,-846,448,314,-749,462,52,0,0,0
1100,-881,459,300,-965,503,32,0,0,0
1133,-900,434,254,-1067,538,150,0,0,0
1167,-934,420,211,-1094,619,352,0,0,0
1200,-965,393,211,-1112,577,408,0,0,0
1233,-911,308,190,-1035,416,451,0,0,0
1267,-902,267,196,-784,285,391,0,0,0
1300,-912,262,196,-537,243,218,0,0,0
1333,-933,308,222,-316,302,57,0,0,0
1367,-914,354,222,-335,250,92,0,0,0
1400,-915,340,199,-473,259,172,0,0,0
1433,-928,301,196,-464,235,114,0,0,0
1467,-921,276,234,-339,120,87,0,0,0
1500,-924,276,238,-153,25,61,0,0,0
1533,-944,271,241,-4,-114,31,0,0,0
1567,-958,295,258,269,-261,101,0,0,0
1600,-1021,344,291,378,-491,267,0,0,0
1633,-1036,416,289,272,-598,521,0,0,0
1667,-1022,566,343,-188,-513,956,0,0,0
1700,-1007,687,469,-1337,-346,1508,0,0,0
1733,-1014,663,522,-2637,-278,1792,0,0,0
1767,-973,552,515,-3147,-321,1767,0,0,0
1800,-892,500,650,-2997,-526,1602,0,0,0
1833,-779,499,689,-2371,-1017,1258,0,0,0
1867,-702,512,709,-1726,-1426,960,0,0,0
1900,-614,521,776,-1160,-1966,699,0,0,0
1933,-584,673,830,-673,-2590,542,0,0,0
1967,-538,833,856,-380,-3163,769,0,0,0
2000,-439,851,865,-441,-3384,1372,0,0,0
2033,-249,616,816,-176,-3408,1784,0,0,0
2067,-113,479,773,-296,-3242,1953,0,0,0
2100,-124,348,900,-1024,-3067,1857,0,0,0
2133,-149,110,916,-1228,-3010,1363,0,0,0
2167,-195,70,965,-1030,-2830,845,0,0,0
2200,-238,163,1041,-1095,-2821,385,0,0,0
2233,-156,159,923,-1469,-2665,-57,0,0,0
2267,-51,194,871,-1823,-2367,-357,0,0,0
2300,5,228,906,-2385,-2118,-827,0,0,0
2333,137,177,756,-3004,-1879,-1360,0,0,0
2367,249,70,666,-3137,-1705,-2117,0,0,0
2400,334,135,619,-2562,-1739,-2765,0,0,0
2433,459,274,466,-2175,-1792,-3225,0,0,0
2467,487,527,521,-2250,-1875,-3329,0,0,0
2500,576,545,438,-1853,-2043,-3000,0,0,0
2533,718,634,316,-1083,-2121,-2527,0,0,0
2567,842,682,348,-920,-2110,-1940,0,0,0
2600,921,567,260,-794,-2047,-1363,0,0,0
2633,1072,408,115,-43,-1498,-760,0,0,0
2667,1084,404,196,355,-960,-234,0,0,0
2700,1010,431,216,-27,-615,20,0,0,0
2733,946,304,241,-22,-329,197,0,0,0
2767,878,354,305,223,-252,239,0,0,0
2800,843,345,251,277,-115,279,0,0,0
2833,856,310,258,541,70,376,0,0,0
2867,896,293,255,649,64,393,0,0,0
2900,958,279,251,866,-152,256,0,0,0
2933,1060,308,183,1358,-338,188,0,0,0
2967,1121,429,56,1751,-463,206,0,0,0
3000,1147,522,107,2023,-575,371,0,0,0
3033,1205,576,-89,2792,-641,517,0,0,0
3067,1203,765,-134,3377,-767,633,0,0,0
3100,993,953,-314,3882,-482,819,0,0,0
3133,737,1149,-434,4250,444,1308,0,0,0
3167,573,1151,-368,4306,1389,1860,0,0,0
3200,610,961,-326,4540,2600,2463,0,0,0
3233,451,923,-387,4590,4060,2657,0,0,0
3267,177,881,-319,4301,5261,2694,0,0,0
3300,-76,543,266,3257,6589,2837,0,0,0
3333,-1292,-749,1246,-45,5045,3500,0,0,0
3367,743,1040,-734,-1812,1131,134,0,0,0
3400,1429,-1019,683,2780,2156,-54,0,0,0
3433,672,629,1005,297,419,-691,0,0,0
3467,884,76,777,-352,298,48,0,0,0
3500,678,98,924,443,68,63,0,0,0
3533,727,33,929,-208,157,180,0,0,0
3567,744,-11,815,-246,153,161,0,0,0
3600,715,67,792,-314,10,119,0,0,0
3633,642,45,779,-322,-114,73,0,0,0
3667,609,59,804,-344,-171,89,0,0,0
3700,606,12,781,-299,-242,51,0,0,0
3733,640,12,744,-256,-264,20,0,0,0
3767,642,15,823,-325,-327,-1,0,0,0
3800,696,-15,802,-504,-438,-70,0,0,0
3833,697,-22,761,-715,-411,-45,0,0,0
3867,660,-50,774,-771,-246,-40,0,0,0
3900,645,-40,779,-696,-272,1,0,0,0
3933,649,-121,720,-652,-281,-37,0,0,0
3967,639,-203,673,-519,-330,-225,0,0,0
4000,633,-82,582,-453,-125,-323,0,0,0
4033,643,-123,653,-732,-16,-411,0,0,0
4067,723,-133,584,-596,-149,-687,0,0,0
4100,722,-181,541,-408,-127,-809,0,0,0
4133,656,-105,655,-287,-224,-879,0,0,0
4167,667,-111,740,-104,-450,-956,0,0,0
4200,663,-32,728,-157,-576,-1052,0,0,0
4233,635,43,917,-691,-636,-1139,0,0,0
4267,663,-3,927,-1118,-608,-1192,0,0,0
4300,684,65,860,-1524,-299,-1320,0,0,0
