Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion,Arm Motion,Arm Object
0,-870,532,137,305,90,471,262,-26,-682,0,0,0
33,-881,619,268,-841,180,539,264,-25,-678,0,0,0
67,-871,373,230,-1483,247,394,267,-2,-674,0,0,0
100,-906,313,233,-1210,291,251,274,23,-667,0,0,0
133,-917,302,240,-1020,287,202,279,42,-659,0,0,0
167,-925,228,304,-588,168,114,285,58,-653,0,0,0
200,-921,271,285,-51,-28,-24,285,61,-654,0,0,0
233,-957,356,264,139,-57,-135,281,59,-658,0,0,0
267,-914,401,259,166,-83,-155,282,51,-664,0,0,0
300,-898,419,266,63,8,-127,280,48,-670,0,0,0
333,-896,432,297,-59,51,-79,285,51,-671,0,0,0
367,-858,415,295,-89,22,73,286,51,-677,0,0,0
400,-828,406,294,-88,82,109,286,49,-682,0,0,0
433,-834,426,315,-201,61,102,291,50,-682,0,0,0
467,-838,421,319,-302,86,192,294,53,-683,0,0,0
500,-835,394,301,-311,87,284,295,57,-683,0,0,0
533,-836,388,289,-319,77,327,299,61,-682,0,0,0
567,-839,381,296,-374,87,314,301,64,-682,0,0,0
600,-847,383,280,-342,68,312,304,66,-680,0,0,0
633,-850,391,239,-272,109,407,309,70,-678,0,0,0
667,-871,326,266,-433,144,358,313,72,-677,0,0,0
700,-860,341,270,-364,164,257,318,77,-676,0,0,0
733,-847,373,259,-277,193,286,322,79,-671,0,0,0
767,-838,344,256,-418,238,187,327,80,-669,0,0,0
800,-844,342,254,-422,305,200,335,84,-665,0,0,0
833,-869,372,281,-394,368,129,341,94,-661,0,0,0
867,-888,389,289,-360,358,100,350,97,-657,0,0,0
900,-921,406,297,-398,378,76,357,103,-655,0,0,0
933,-907,414,307,-347,367,100,364,110,-652,0,0,0
967,-889,416,319,-402,370,66,375,113,-647,0,0,0
1000,-858,422,313,-482,417,92,384,118,-643,0,0,0
1033,-825,425,314,-570,444,92,393,126,-638,0,0,0
1067,-846,448,314,-749,462,52,402,138,-629,0,0,0
1100,-881,459,300,-965,503,32,410,153,-619,0,0,0
1133,-900,434,254,-1067,538,150,421,169,-602,0,0,0
1167,-934,420,211,-1094,619,352,430,184,-584,0,0,0
1200,-965,393,211,-1112,577,408,442,193,-565,0,0,0
