Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion,Arm Motion,Arm Object
0,-916,224,312,-43,29,-16,222,104,-762,0,0,0
33,-918,204,304,-4,24,21,221,106,-759,0,0,0
67,-933,211,313,21,46,-7,223,106,-761,0,0,0
100,-938,213,318,-2,29,7,224,105,-761,0,0,0
133,-930,219,310,-10,39,21,226,106,-760,0,0,0
167,-929,224,308,-23,10,-14,224,106,-758,0,0,0
200,-929,212,304,-59,29,24,224,107,-760,0,0,0
233,-930,200,301,-79,46,-19,224,108,-758,0,0,0
267,-936,193,298,-79,52,-4,224,110,-757,0,0,0
300,-930,183,297,-1,40,-11,225,111,-756,0,0,0
333,-929,193,296,74,-14,-14,225,113,-758,0,0,0
367,-939,204,304,85,-7,-35,225,111,-759,0,0,0
400,-935,212,307,70,5,-44,224,108,-758,0,0,0
433,-931,217,301,41,17,5,226,109,-759,0,0,0
467,-934,215,298,9,23,12,224,110,-760,0,0,0
500,-928,205,294,17,-7,-14,222,107,-759,0,0,0
533,-927,194,292,24,-20,-14,225,107,-759,0,0,0
567,-934,193,295,23,10,10,224,108,-759,0,0,0
600,-937,205,300,61,-15,15,223,108,-760,0,0,0
633,-931,209,297,62,18,-3,223,105,-759,0,0,0
667,-934,213,299,36,-21,-7,221,107,-764,0,0,0
700,-933,203,296,42,-15,-6,221,104,-762,0,0,0
733,-931,197,293,26,53,-2,222,104,-761,0,0,0
767,-933,197,297,42,-11,1,221,104,-763,0,0,0
800,-936,205,301,53,8,23,222,101,-763,0,0,0
833,-931,214,306,68,-23,-35,221,99,-765,0,0,0
867,-927,220,309,23,10,8,220,98,-765,0,0,0
900,-928,218,311,-29,19,-20,219,98,-766,0,0,0
933,-927,215,309,-44,-8,53,219,101,-765,0,0,0
967,-928,216,309,-70,-9,11,219,101,-766,0,0,0
1000,-930,212,310,-88,18,16,219,100,-764,0,0,0
1033,-926,204,307,-77,-1,16,220,102,-763,0,0,0
1067,-931,202,307,-88,20,11,220,105,-764,0,0,0
1100,-932,202,308,-109,38,58,221,106,-763,0,0,0
1133,-930,202,307,-107,16,19,221,108,-762,0,0,0
1167,-928,200,302,-135,28,21,221,112,-761,0,0,0
1200,-932,197,304,-122,-1,44,222,113,-762,0,0,0
1233,-933,190,303,-119,24,-14,222,115,-760,0,0,0
1267,-932,188,301,-84,13,51,223,119,-758,0,0,0
1300,-929,189,302,-86,6,30,224,119,-760,0,0,0
1333,-931,193,306,-39,-34,25,223,120,-758,0,0,0
1367,-936,199,311,-57,-3,18,223,121,-759,0,0,0
1400,-931,195,308,-105,15,42,224,123,-760,0,0,0
1433,-926,192,299,-82,8,38,223,124,-758,0,0,0
1467,-921,189,292,-74,28,55,223,127,-757,0,0,0
1500,-925,190,294,-5,12,41,224,127,-757,0,0,0
1533,-935,194,300,45,20,58,225,126,-756,0,0,0
1567,-932,200,303,50,19,128,226,125,-756,0,0,0
1600,-919,213,309,103,31,75,228,120,-758,0,0,0
1633,-914,228,310,88,53,116,226,119,-757,0,0,0
1667,-926,237,322,25,71,95,231,118,-759,0,0,0
1700,-922,243,314,-57,88,71,232,117,-758,0,0,0
1733,-929,261,315,-136,104,58,236,119,-757,0,0,0
1767,-926,291,293,-160,116,88,239,121,-756,0,0,0
1800,-966,320,292,-252,140,88,243,125,-756,0,0,0
1833,-975,317,298,-198,137,102,249,133,-755,0,0,0
1867,-965,313,304,-163,41,130,251,134,-754,0,0,0
1900,-952,306,320,-214,11,203,251,135,-753,0,0,0
1933,-928,302,316,-280,11,298,254,137,-749,0,0,0
1967,-921,280,316,-253,-25,320,255,137,-747,0,0,0
2000,-985,291,309,-148,-131,284,253,136,-746,0,0,0
2033,-1142,352,319,-282,-110,232,253,136,-742,0,0,0
2067,-995,293,299,-713,-44,385,254,144,-735,0,0,0
2100,-962,222,354,-920,25,619,257,155,-726,0,0,0
2133,-910,165,403,-743,-91,760,259,166,-715,0,0,0
2167,-846,179,357,-391,-334,894,261,172,-707,0,0,0
2200,-804,170,309,-164,-477,1059,260,172,-704,0,0,0
2233,-831,257,338,94,-510,1189,255,163,-701,0,0,0
2267,-837,304,369,224,-630,1210,252,150,-703,0,0,0
2300,-798,317,323,339,-553,986,245,135,-704,0,0,0
2333,-780,342,266,429,-387,643,240,116,-705,0,0,0
2367,-753,374,253,307,-128,346,235,104,-707,0,0,0
2400,-696,341,215,137,138,89,237,99,-710,0,0,0
2433,-691,331,215,-21,513,-172,242,95,-708,0,0,0
2467,-761,352,257,-49,815,-509,256,98,-703,0,0,0
2500,-827,401,308,-116,978,-705,265,102,-699,0,0,0
2533,-856,385,344,-160,946,-519,281,109,-692,0,0,0
2567,-894,298,580,69,819,-207,298,110,-685,0,0,0
2600,-1004,326,697,448,350,42,306,102,-682,0,0,0
2633,-896,369,337,265,72,59,309,92,-681,0,0,0
2667,-931,390,301,56,-145,-142,309,92,-682,0,0,0
2700,-1016,400,311,78,-400,-445,300,94,-685,0,0,0
2733,-1060,403,318,536,-620,-506,290,96,-693,0,0,0
2767,-1000,425,302,1063,-737,-200,273,80,-711,0,0,0
2800,-873,505,305,950,-577,145,258,56,-724,0,0,0
2833,-759,583,296,554,-408,560,248,37,-733,0,0,0
2867,-700,657,309,-184,-271,783,247,31,-736,0,0,0
2900,-687,598,330,-725,-256,801,243,39,-732,0,0,0
2933,-743,544,298,-582,-304,733,241,49,-726,0,0,0
2967,-837,527,286,-312,-312,709,236,53,-724,0,0,0
3000,-860,496,308,-52,-434,769,231,57,-719,0,0,0
