Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion,Arm Motion,Arm Object
0,-884,386,270,13,14,22,357,170,-718,0,0,0
33,-880,385,269,15,-20,21,357,171,-716,0,0,0
67,-878,384,263,12,-5,41,357,168,-717,0,0,0
100,-882,384,262,6,5,63,357,170,-717,0,0,0
133,-885,385,267,32,30,-2,358,169,-717,0,0,0
167,-884,392,270,25,16,24,357,169,-717,0,0,0
200,-881,388,272,13,-8,36,358,168,-717,0,0,0
233,-880,392,273,11,13,34,358,167,-717,0,0,0
267,-880,395,271,3,-12,53,357,167,-717,0,0,0
300,-882,392,268,4,-19,0,357,167,-718,0,0,0
333,-883,394,266,5,-16,18,358,167,-717,0,0,0
367,-885,388,270,-13,14,29,358,167,-717,0,0,0
400,-884,390,272,5,30,31,356,167,-717,0,0,0
433,-884,387,268,4,-1,50,358,167,-717,0,0,0
467,-878,386,267,4,-24,26,359,167,-717,0,0,0
500,-879,390,262,22,10,0,360,166,-716,0,0,0
533,-886,395,268,-21,25,21,359,166,-717,0,0,0
567,-884,397,272,3,18,18,360,167,-716,0,0,0
600,-880,395,270,-6,-3,13,358,166,-716,0,0,0
633,-874,391,267,30,-29,34,357,167,-717,0,0,0
667,-874,393,269,13,-33,41,358,167,-718,0,0,0
700,-871,392,268,0,-18,19,358,167,-716,0,0,0
733,-873,388,277,15,-9,20,357,167,-717,0,0,0
767,-865,387,272,65,-17,87,358,166,-715,0,0,0
800,-856,390,278,122,11,71,356,161,-715,0,0,0
833,-856,418,291,108,64,98,358,158,-716,0,0,0
867,-856,434,297,15,108,96,359,157,-714,0,0,0
900,-864,468,304,-128,186,106,366,155,-712,0,0,0
933,-852,450,299,-332,248,67,372,161,-706,0,0,0
967,-884,457,297,-385,342,-33,378,168,-698,0,0,0
1000,-923,442,275,-403,366,-96,385,179,-690,0,0,0
1033,-869,433,245,-335,456,-224,391,186,-688,0,0,0
1067,-796,482,244,-467,551,-317,401,195,-681,0,0,0
1100,-770,531,268,-944,623,-319,411,214,-670,0,0,0
1133,-837,524,260,-1321,548,-228,420,237,-655,0,0,0
1167,-860,472,215,-1395,452,-66,429,262,-635,0,0,0
1200,-904,437,192,-1326,355,153,434,279,-613,0,0,0
1233,-967,406,160,-1164,274,322,439,294,-595,0,0,0
1267,-936,369,133,-926,228,465,445,297,-577,0,0,0
1300,-902,363,126,-775,218,532,454,298,-560,0,0,0
1333,-915,374,129,-860,287,602,462,297,-544,0,0,0
1367,-945,321,135,-1022,341,639,471,300,-527,0,0,0
1400,-961,275,158,-1018,316,589,482,303,-506,0,0,0
1433,-995,247,190,-805,230,571,490,306,-488,0,0,0
1467,-980,225,215,-555,108,557,499,303,-472,0,0,0
1500,-954,230,226,-239,10,514,506,297,-463,0,0,0
1533,-945,257,244,-50,-127,412,508,292,-457,0,0,0
1567,-938,288,257,67,-241,325,510,287,-459,0,0,0
1600,-953,286,271,-24,-393,263,509,283,-458,0,0,0
1633,-1033,242,278,26,-591,187,503,281,-462,0,0,0
1667,-1079,200,291,231,-742,164,495,280,-472,0,0,0
1700,-1174,153,335,434,-952,193,489,277,-483,0,0,0
1733,-1225,94,318,588,-1100,173,479,271,-502,0,0,0
1767,-1178,168,268,427,-1107,89,465,267,-524,0,0,0
1800,-1055,221,252,-123,-1082,-379,449,276,-545,0,0,0
1833,-928,227,282,-235,-1120,-1177,429,306,-556,0,0,0
1867,-815,369,280,5,-1226,-1759,410,341,-562,0,0,0
1900,-705,532,268,224,-1215,-1975,375,373,-570,0,0,0
1933,-717,677,362,599,-1227,-1954,336,396,-575,0,0,0
1967,-664,809,431,1237,-1250,-1480,280,404,-593,0,0,0
2000,-595,939,503,1293,-1228,-646,246,388,-615,0,0,0
2033,-535,888,597,731,-1045,193,223,369,-632,0,0,0
2067,-545,745,708,-25,-831,938,209,357,-640,0,0,0
2100,-613,595,775,-708,-733,1341,205,355,-638,0,0,0
2133,-732,537,878,-1238,-834,1642,215,360,-625,0,0,0
2167,-774,377,987,-1316,-1161,1840,215,370,-611,0,0,0
2200,-754,320,1052,-1006,-1580,1835,203,379,-600,0,0,0
2233,-708,404,1137,-1250,-1842,1914,192,384,-592,0,0,0
2267,-606,327,1211,-1588,-2079,1958,182,398,-580,0,0,0
2300,-504,279,1199,-1756,-2238,1821,173,413,-563,0,0,0
2333,-467,273,1254,-2202,-2436,1681,156,438,-540,0,0,0
2367,-416,153,1190,-2478,-2758,1278,132,471,-511,0,0,0
2400,-389,35,1138,-2216,-3154,763,96,506,-481,0,0,0
2433,-384,18,1077,-2061,-3479,132,52,535,-445,0,0,0
2467,-353,13,1011,-2138,-3669,-357,-12,570,-403,0,0,0
2500,-301,-10,924,-2111,-3810,-899,-76,596,-353,0,0,0
2533,-233,25,777,-2161,-3862,-1419,-132,615,-298,0,0,0
2567,-82,-21,635,-2037,-3665,-1793,-202,623,-229,0,0,0
2600,143,64,455,-1998,-3480,-2095,-267,621,-158,0,0,0
2633,349,118,323,-2280,-2990,-2380,-341,607,-70,0,0,0
