Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion,Arm Motion,Arm Object
0,-1005,272,213,215,-307,104,480,294,-508,0,0,0
33,-1019,242,187,550,-561,228,474,286,-517,0,0,0
67,-1048,229,173,957,-824,319,466,272,-532,0,0,0
100,-1060,227,202,1314,-1014,298,455,253,-551,0,0,0
133,-1068,238,225,1640,-1202,183,437,228,-579,0,0,0
167,-1060,273,280,1809,-1400,4,414,199,-610,0,0,0
200,-939,332,297,1733,-1451,-167,385,166,-644,0,0,0
233,-861,456,393,1323,-1324,-183,360,146,-668,0,0,0
267,-813,577,468,619,-1187,-293,337,143,-679,0,0,0
300,-800,750,509,-454,-1004,-348,320,157,-685,0,0,0
333,-753,766,475,-1347,-829,-114,301,194,-675,0,0,0
367,-645,640,437,-1078,-777,17,290,235,-661,0,0,0
400,-495,630,376,-259,-794,138,280,249,-653,0,0,0
433,-425,660,309,130,-789,271,267,250,-653,0,0,0
467,-522,670,242,305,-760,265,253,242,-657,0,0,0
500,-633,607,256,638,-724,208,238,228,-665,0,0,0
533,-689,469,244,1373,-788,271,220,196,-682,0,0,0
567,-716,406,217,2072,-742,241,204,151,-701,0,0,0
600,-698,416,209,2385,-349,132,189,102,-720,0,0,0
633,-685,467,244,2161,163,44,185,43,-731,0,0,0
667,-681,530,289,1329,614,-217,191,0,-739,0,0,0
700,-670,498,279,472,875,-613,202,-36,-745,0,0,0
733,-755,503,383,-193,1140,-925,222,-36,-748,0,0,0
767,-823,469,450,-445,1184,-974,248,-18,-746,0,0,0
800,-894,451,449,-215,1128,-925,268,-7,-745,0,0,0
833,-957,490,567,291,956,-806,289,-11,-745,0,0,0
867,-1012,449,814,1297,172,-634,299,-27,-750,0,0,0
900,-924,540,508,986,-141,-394,296,-55,-756,0,0,0
933,-878,550,293,497,-176,-266,291,-71,-762,0,0,0
967,-884,584,205,-119,-142,-174,288,-68,-766,0,0,0
1000,-830,490,208,-534,-112,-93,288,-50,-771,0,0,0
1033,-860,435,327,-525,-193,51,287,-32,-773,0,0,0
1067,-921,384,369,-419,-341,-110,279,-14,-777,0,0,0
1100,-914,397,420,-588,-242,-219,276,3,-779,0,0,0
