Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion,Arm Motion,Arm Object
0,-905,350,302,-787,504,58,331,298,-700,0,0,0
33,-882,336,294,-1159,546,183,341,313,-683,0,0,0
67,-883,304,297,-1383,482,297,356,331,-660,0,0,0
100,-904,299,284,-1539,414,317,366,353,-635,0,0,0
133,-954,277,270,-1694,306,431,383,377,-604,0,0,0
167,-984,211,257,-1599,149,531,393,394,-572,0,0,0
200,-1011,206,240,-1310,29,674,400,402,-548,0,0,0
233,-1041,202,224,-1048,-85,755,408,407,-524,0,0,0
267,-1032,191,210,-656,-264,853,418,406,-506,0,0,0
300,-1013,186,199,-231,-410,944,425,393,-495,0,0,0
333,-1010,217,189,95,-511,1030,432,378,-493,0,0,0
367,-992,233,181,233,-446,970,436,363,-494,0,0,0
400,-949,249,184,217,-402,889,441,345,-494,0,0,0
433,-949,241,204,-22,-282,772,448,335,-494,0,0,0
467,-963,221,218,-132,-280,529,450,326,-493,0,0,0
500,-958,197,251,-84,-263,375,451,322,-491,0,0,0
533,-958,195,280,63,-198,211,453,323,-490,0,0,0
567,-977,207,309,210,-290,39,450,321,-495,0,0,0
600,-1039,246,362,326,-349,-151,443,317,-503,0,0,0
633,-969,243,369,659,-470,-232,431,311,-519,0,0,0
667,-885,277,349,977,-492,-289,417,305,-539,0,0,0
700,-858,326,339,1131,-587,-466,410,292,-558,0,0,0
733,-837,362,308,1144,-673,-639,392,281,-584,0,0,0
767,-831,412,288,1125,-730,-674,371,270,-611,0,0,0
800,-837,448,281,1147,-782,-545,345,257,-640,0,0,0
833,-791,462,298,1175,-795,-339,325,242,-666,0,0,0
867,-658,478,303,1076,-631,-75,313,227,-685,0,0,0
900,-590,477,443,743,-440,105,302,211,-701,0,0,0
933,-646,515,484,259,-369,120,296,206,-708,0,0,0
967,-699,503,513,-293,-238,45,294,212,-711,0,0,0
1000,-753,468,565,-554,-93,16,294,229,-705,0,0,0
1033,-786,493,610,-444,-17,51,295,248,-703,0,0,0
1067,-756,519,643,-405,-37,144,295,258,-698,0,0,0
1100,-744,559,637,-640,-67,290,299,271,-691,0,0,0
1133,-783,586,641,-1144,-147,445,304,291,-678,0,0,0
1167,-889,554,765,-1497,-366,637,304,314,-657,0,0,0
1200,-918,592,792,-1804,-765,1026,298,339,-639,0,0,0
1233,-924,477,933,-2418,-1118,1251,294,368,-612,0,0,0
1267,-905,267,1083,-2679,-1488,1310,289,403,-579,0,0,0
1300,-856,176,1044,-3380,-1702,1391,286,445,-533,0,0,0
1333,-974,71,1115,-4334,-1768,1256,284,496,-472,0,0,0
1367,-991,-20,1146,-4453,-1709,626,276,546,-407,0,0,0
1400,-859,-91,1147,-3646,-1752,-271,262,589,-337,0,0,0
1433,-772,-58,1217,-2844,-1995,-1140,229,623,-284,0,0,0
1467,-546,-104,1154,-2179,-2617,-1911,163,655,-235,0,0,0
1500,-312,-145,1076,-1667,-3321,-2625,84,676,-205,0,0,0
1533,-269,17,1071,-1557,-3976,-3018,7,686,-176,0,0,0
1567,-355,250,971,-1240,-4484,-2789,-88,687,-135,0,0,0
1600,-450,300,940,-1127,-4845,-2267,-166,679,-83,0,0,0
1633,-531,151,777,-1138,-5210,-2141,-241,665,-14,0,0,0
1667,-489,-139,529,-885,-5303,-2037,-286,646,59,0,0,0
1700,-350,-254,320,-1212,-4995,-2200,-305,626,131,0,0,0
1733,-56,-366,-27,-2040,-4278,-2761,-330,587,217,0,0,0
1767,291,-447,-302,-2315,-3106,-3596,-359,532,301,0,0,0
1800,546,-198,-492,-2301,-1779,-4392,-411,453,373,0,0,0
1833,717,214,-544,-1569,-421,-4404,-464,365,412,0,0,0
