Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion,Arm Motion,Arm Object
0,-814,462,465,1052,-575,-779,291,256,-695,0,0,0
33,-856,510,522,893,-585,-646,269,244,-705,0,0,0
67,-868,522,479,505,-630,-336,254,235,-710,0,0,0
100,-840,499,444,35,-509,9,238,234,-709,0,0,0
133,-836,460,461,-267,-438,246,229,236,-705,0,0,0
167,-809,467,509,-404,-499,436,226,242,-696,0,0,0
200,-803,461,527,-485,-507,594,219,250,-689,0,0,0
233,-753,430,555,-525,-525,620,211,256,-681,0,0,0
267,-710,405,612,-420,-706,309,202,260,-675,0,0,0
300,-670,394,569,32,-859,-87,185,263,-671,0,0,0
333,-721,465,456,584,-1000,-88,161,254,-674,0,0,0
367,-837,395,314,1109,-1096,417,140,232,-682,0,0,0
400,-918,366,268,1344,-1012,1065,120,200,-695,0,0,0
433,-894,288,245,1548,-925,1700,105,160,-705,0,0,0
467,-836,303,310,1798,-713,2128,94,112,-717,0,0,0
500,-754,362,319,1955,-377,2342,99,52,-724,0,0,0
533,-657,380,341,1769,185,1957,102,0,-730,0,0,0
567,-506,401,402,1050,787,1223,107,-35,-730,0,0,0
600,-362,416,457,152,1282,381,134,-50,-728,0,0,0
633,-397,494,517,-561,1553,-397,169,-46,-724,0,0,0
667,-531,604,455,-1151,1454,-885,202,-17,-718,0,0,0
700,-700,530,370,-1097,1516,-1034,236,19,-709,0,0,0
733,-836,576,417,-697,1388,-879,268,44,-698,0,0,0
767,-862,571,479,-239,1202,-620,293,59,-691,0,0,0
800,-822,547,470,163,1049,-595,313,62,-685,0,0,0
833,-834,610,444,294,918,-760,327,58,-681,0,0,0
867,-909,522,598,494,756,-875,338,55,-678,0,0,0
900,-943,486,820,2405,13,-824,344,27,-684,0,0,0
933,-871,760,511,1870,-389,-506,333,-21,-694,0,0,0
967,-789,789,401,920,-467,-164,323,-48,-703,0,0,0
1000,-774,716,325,-175,-437,22,308,-60,-708,0,0,0
1033,-728,530,256,-591,-454,-3,298,-43,-709,0,0,0
1067,-752,470,192,-31,-438,-46,293,-31,-711,0,0,0
1100,-792,522,137,209,-411,-199,284,-30,-710,0,0,0
1133,-846,568,117,182,-355,-371,274,-31,-717,0,0,0
1167,-854,576,107,174,-370,-475,267,-30,-720,0,0,0
1200,-815,541,136,301,-370,-440,257,-31,-725,0,0,0
1233,-774,490,164,585,-360,-428,250,-38,-732,0,0,0
1267,-812,546,203,755,-343,-395,243,-53,-740,0,0,0
1300,-853,610,201,583,-263,-436,233,-69,-748,0,0,0
1333,-836,597,213,214,-114,-473,227,-80,-755,0,0,0
1367,-781,554,249,-183,17,-270,224,-79,-757,0,0,0
1400,-784,546,273,-407,103,-166,225,-69,-757,0,0,0
1433,-822,516,280,-401,146,-95,228,-58,-756,0,0,0
1467,-877,505,267,-279,53,15,230,-48,-755,0,0,0
1500,-884,487,252,-217,51,41,234,-42,-753,0,0,0
1533,-841,470,246,-87,74,137,235,-40,-753,0,0,0
1567,-812,463,229,-128,167,148,238,-39,-752,0,0,0
1600,-783,452,213,-198,210,128,241,-35,-750,0,0,0
1633,-801,448,194,-158,337,61,247,-33,-746,0,0,0
1667,-812,472,195,-192,433,-101,256,-28,-745,0,0,0
1700,-805,513,189,-288,582,-183,268,-23,-741,0,0,0
1733,-858,597,213,-722,770,-189,281,-14,-736,0,0,0
1767,-851,573,243,-1288,817,-154,301,9,-728,0,0,0
1800,-889,511,265,-1373,788,-31,319,39,-720,0,0,0
1833,-931,477,299,-1195,635,115,339,66,-710,0,0,0
1867,-924,442,292,-960,503,245,351,83,-702,0,0,0
1900,-897,444,295,-863,391,377,361,96,-693,0,0,0
1933,-878,420,285,-832,277,485,367,105,-682,0,0,0
1967,-891,393,247,-763,157,473,374,115,-672,0,0,0
2000,-921,382,222,-675,81,437,381,124,-661,0,0,0
2033,-930,360,200,-547,40,503,384,130,-653,0,0,0
2067,-923,344,200,-491,44,517,389,136,-644,0,0,0
2100,-883,342,199,-391,75,457,391,139,-639,0,0,0
2133,-872,334,197,-324,65,373,393,141,-634,0,0,0
2167,-895,341,201,-305,38,229,397,142,-628,0,0,0
2200,-922,331,222,-243,37,106,397,146,-626,0,0,0
2233,-910,322,243,-148,15,50,398,152,-623,0,0,0
2267,-889,331,254,-23,8,-64,399,151,-623,0,0,0
2300,-865,355,278,-33,33,-151,399,155,-624,0,0,0
2333,-858,363,287,8,-9,-272,395,156,-629,0,0,0
2367,-869,402,296,52,-44,-305,391,159,-632,0,0,0
2400,-882,419,307,100,-99,-279,391,162,-633,0,0,0
2433,-892,436,318,135,-172,-218,386,164,-638,0,0,0
2467,-900,437,307,150,-257,-102,381,164,-646,0,0,0
2500,-902,413,304,248,-337,26,373,162,-649,0,0,0
2533,-903,392,291,380,-407,68,366,158,-656,0,0,0
2567,-911,400,290,435,-404,132,360,149,-662,0,0,0
2600,-901,431,305,382,-432,253,353,141,-668,0,0,0
2633,-843,452,324,268,-363,377,345,131,-674,0,0,0
2667,-824,488,385,25,-423,575,343,122,-677,0,0,0
2700,-829,550,439,-223,-481,759,340,125,-675,0,0,0
2733,-816,587,476,-342,-594,1003,331,128,-675,0,0,0
2767,-785,608,514,-217,-719,1161,324,125,-675,0,0,0
2800,-756,618,563,48,-872,1222,315,120,-679,0,0,0
2833,-731,662,540,11,-987,1167,306,109,-684,0,0,0
2867,-694,736,496,-302,-954,1264,292,102,-688,0,0,0
2900,-710,765,564,-768,-943,1248,276,104,-688,0,0,0
2933,-638,790,548,-1047,-1026,1318,265,116,-689,0,0,0
2967,-508,951,634,-1441,-994,1662,249,133,-684,0,0,0
3000,-439,857,732,-2053,-1098,1785,242,166,-675,0,0,0
3033,-405,704,657,-1761,-1223,1797,229,198,-666,0,0,0
3067,-387,667,701,-1290,-1308,1838,215,213,-661,0,0,0
3100,-351,710,756,-1011,-1398,1939,201,224,-659,0,0,0
3133,-261,720,729,-1226,-1318,2003,189,236,-656,0,0,0
3167,-206,693,875,-1741,-1288,2051,182,258,-648,0,0,0
3200,-147,579,1051,-2010,-1506,2020,171,290,-636,0,0,0
3233,-48,412,1097,-2207,-1581,2096,162,324,-620,0,0,0
3267,-187,218,1253,-2347,-1679,1777,151,363,-598,0,0,0
3300,-342,123,1269,-2311,-1900,1334,137,403,-575,0,0,0
3333,-406,-53,1154,-2188,-2023,916,112,449,-545,0,0,0
