Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion
81649, -0.9061279, 0.29919434, 0.26000977, -6.04248, 2.6855466, 6.6528316, 54.0, 12.0, -2.0, 0
81669, -0.9036865, 0.31689453, 0.24511719, -0.793457, 2.9907224, 5.615234, 54.0, 12.0, -2.0, 0
81696, -0.8955078, 0.27856445, 0.23583984, 1.3427733, 2.868652, 5.981445, 54.0, 8.0, -6.0, 0
81718, -0.8881836, 0.29431152, 0.23388672, 3.4790037, 3.0517576, 1.3427733, 54.0, 8.0, -6.0, 0
81736, -0.90063477, 0.29418945, 0.23937988, 5.0659175, 2.5024414, -0.97656244, 54.0, 8.0, -6.0, 0
81756, -0.89941406, 0.29553223, 0.23840332, 5.249023, 2.1362305, -0.9155273, 54.0, 8.0, -6.0, 0
81775, -0.8964844, 0.2932129, 0.23376465, 4.8828125, 0.61035156, 0.122070305, 54.0, 8.0, -6.0, 0
81797, -0.8968506, 0.33374023, 0.23400879, 8.728027, -1.5258788, -1.6479491, 54.0, 11.0, -4.0, 0
81822, -0.89868164, 0.30908203, 0.23754883, 11.9018545, -3.0517576, -4.3945312, 54.0, 11.0, -4.0, 0
81845, -0.90515137, 0.28967285, 0.2388916, 9.460449, -3.0517576, -3.2958982, 54.0, 11.0, -4.0, 0
81866, -0.9156494, 0.29736328, 0.24841309, 8.422852, -2.1362305, -0.793457, 54.0, 11.0, -4.0, 0
81884, -0.9168701, 0.29711914, 0.25927734, 8.728027, -1.0986328, -0.48828122, 54.0, 11.0, -4.0, 0
81904, -0.9139404, 0.28552246, 0.25976562, 7.629394, -0.061035153, -0.793457, 56.0, 9.0, -4.0, 0
81922, -0.9090576, 0.29040527, 0.25170898, 7.0190425, 0.8544921, -0.3662109, 56.0, 9.0, -4.0, 0
81950, -0.90405273, 0.32043457, 0.24389648, 10.31494, 1.0986328, -2.868652, 56.0, 9.0, -4.0, 0
81972, -0.90026855, 0.31396484, 0.24365234, 11.230468, 0.7324218, -5.737304, 56.0, 9.0, -4.0, 0
81994, -0.9029541, 0.30419922, 0.24816895, 11.96289, 0.7324218, -7.8735347, 56.0, 9.0, -4.0, 0
82012, -0.9088135, 0.31323242, 0.26000977, 12.695312, 1.6479491, -10.437011, 54.0, 11.0, 0.0, 0
82040, -0.8918457, 0.31225586, 0.24499512, 9.765625, 0.48828122, -12.512206, 54.0, 11.0, 0.0, 0
82060, -0.88256836, 0.31970215, 0.23901367, 10.131835, -0.122070305, -12.023925, 54.0, 11.0, 0.0, 0
82078, -0.8845215, 0.31896973, 0.2409668, 13.0615225, -1.7089843, -9.82666, 54.0, 11.0, 0.0, 0
82105, -0.8931885, 0.3190918, 0.24768066, 11.352538, -1.8920897, -10.009766, 53.0, 11.0, -4.0, 0
82127, -0.892334, 0.28173828, 0.24682617, 7.93457, -2.9296873, -7.3852534, 53.0, 11.0, -4.0, 0
82150, -0.8907471, 0.2803955, 0.26000977, 6.469726, -3.2958982, -5.1269526, 53.0, 11.0, -4.0, 0
82171, -0.9001465, 0.3010254, 0.2697754, 7.3242183, -3.4179685, -3.3569334, 53.0, 11.0, -4.0, 0
82191, -0.9119873, 0.27294922, 0.26611328, 6.103515, -2.380371, -1.6479491, 53.0, 11.0, -4.0, 0
82213, -0.91552734, 0.2915039, 0.2619629, 7.690429, -0.793457, -1.7089843, 55.0, 13.0, -3.0, 0
82238, -0.91101074, 0.30529785, 0.28063965, 13.305663, -1.2817382, -0.24414061, 55.0, 13.0, -3.0, 0
82262, -0.9034424, 0.28198242, 0.2746582, 9.460449, 0.0, 1.159668, 55.0, 13.0, -3.0, 0
82284, -0.8963623, 0.30859375, 0.27160645, 4.5166016, 0.42724606, 1.159668, 55.0, 13.0, -3.0, 0
82309, -0.8878174, 0.32019043, 0.26623535, 5.7983394, -0.48828122, 2.0141602, 59.0, 10.0, -2.0, 0
82331, -0.88513184, 0.2993164, 0.26586914, 3.9062498, -0.3662109, 3.234863, 59.0, 10.0, -2.0, 0
82350, -0.8840332, 0.30236816, 0.2770996, -0.48828122, -0.18310545, 3.4790037, 59.0, 10.0, -2.0, 0
82374, -0.8901367, 0.31469727, 0.2783203, -2.4414062, -0.122070305, 3.1127927, 59.0, 10.0, -2.0, 0
82397, -0.9017334, 0.32421875, 0.2677002, 2.4414062, -0.30517578, 2.7465818, 57.0, 13.0, -3.0, 0
82420, -0.9017334, 0.31970215, 0.27355957, 6.2255855, -0.30517578, 1.9531249, 57.0, 13.0, -3.0, 0
82443, -0.90771484, 0.3104248, 0.26953125, 6.2255855, 0.122070305, 0.30517578, 57.0, 13.0, -3.0, 0
82461, -0.9139404, 0.30944824, 0.26757812, 4.638672, 0.67138666, -1.159668, 57.0, 13.0, -3.0, 0
82479, -0.9123535, 0.3137207, 0.26708984, 4.333496, 0.9155273, -1.4648436, 57.0, 13.0, -3.0, 0
82504, -0.90197754, 0.3128662, 0.26757812, 5.0659175, 0.97656244, -0.97656244, 59.0, 10.0, 0.0, 0
82522, -0.8886719, 0.30871582, 0.26489258, 4.3945312, 0.9155273, -1.5258788, 59.0, 10.0, 0.0, 0
82548, -0.883667, 0.31188965, 0.2578125, 4.1503906, 0.24414061, -4.5776367, 59.0, 10.0, 0.0, 0
82570, -0.8937988, 0.31506348, 0.26464844, 7.202148, -0.24414061, -5.981445, 59.0, 10.0, 0.0, 0
