"Time (ms)","Accelerometer X (mGal)","Accelerometer Y (mGal)","Accelerometer Z (mGal)","Gyro X","Gyro Y","Gyro Z","Magnetic X","Magnetic Y","Magnetic Z","Locomotion"
1592,"-0.8814697265625","0.1212158203125","-0.454345703125","11.474608421325684","-7.690429210662842","-3.295898199081421","-14","18","-25","2"
1623,"-0.8900146484375","0.101318359375","-0.43701171875","20.080564498901367","-8.48388671875","-2.25830078125","-12","16","-24","2"
1654,"-0.89990234375","0.0653076171875","-0.4530029296875","17.333984375","-7.446288585662842","-0.9765624403953552","-12","16","-24","2"
1685,"-0.8958740234375","0.0963134765625","-0.4456787109375","7.019042491912842","-2.624511480331421","1.15966796875","-12","16","-24","2"
1717,"-0.8885498046875","0.122314453125","-0.44580078125","7.263183116912842","-0.9155272841453552","1.220703125","-12","16","-24","2"
1748,"-0.880615234375","0.111083984375","-0.4683837890625","15.014647483825684","-1.6479490995407104","4.39453125","-14","18","-27","2"
1779,"-0.8861083984375","0.11083984375","-0.4744873046875","12.573241233825684","0.6103515625","5.981444835662842","-14","18","-27","2"
1813,"-0.8662109375","0.1329345703125","-0.4781494140625","11.779784202575684","-0.4882812201976776","5.493163585662842","-15","14","-28","2"
1849,"-0.88525390625","0.1119384765625","-0.5142822265625","13.183592796325684","0.1831054538488388","9.21630859375","-15","14","-28","2"
1885,"-0.8828125","0.108642578125","-0.517822265625","3.051757574081421","3.601073980331421","8.23974609375","-15","14","-28","2"
1916,"-0.87451171875","0.1497802734375","-0.531982421875","-4.0283203125","2.13623046875","5.065917491912842","-15","14","-28","2"
1947,"-0.876220703125","0.1656494140625","-0.538330078125","-0.1831054538488388","0","5.126952648162842","-13","14","-25","2"
1978,"-0.860107421875","0.140380859375","-0.5322265625","3.234863042831421","-1.9531248807907104","3.906249761581421","-13","14","-25","2"
2009,"-0.868896484375","0.1300048828125","-0.530517578125","0.1220703050494194","-4.150390625","2.807616949081421","-13","14","-25","2"
2040,"-0.8719482421875","0.122802734375","-0.5208740234375","-2.01416015625","-3.784179449081421","2.38037109375","-11","12","-25","2"
2074,"-0.8660888671875","0.1209716796875","-0.51513671875","-3.234863042831421","-3.540038824081421","4.150390625","-11","12","-25","2"
2105,"-0.868896484375","0.09912109375","-0.50927734375","-3.723144292831421","-1.9531248807907104","5.187987804412842","-11","12","-25","2"
2136,"-0.8624267578125","0.093994140625","-0.512939453125","-10.314940452575684","0.4882812201976776","5.371093273162842","-16","16","-26","2"
2167,"-0.848876953125","0.104736328125","-0.509765625","-11.352538108825684","2.0751953125","5.249022960662842","-16","16","-26","2"
2198,"-0.8438720703125","0.103515625","-0.5162353515625","-7.568358898162842","1.9531248807907104","6.225585460662842","-16","16","-26","2"
2234,"-0.8162841796875","0.098876953125","-0.50390625","-4.57763671875","2.929687261581421","7.385253429412842","-16","23","-29","2"
2265,"-0.8182373046875","0.078125","-0.5001220703125","-3.723144292831421","2.929687261581421","6.408690929412842","-16","23","-29","2"
2299,"-0.8106689453125","0.075927734375","-0.4979248046875","-3.967284917831421","4.45556640625","4.57763671875","-16","23","-29","2"
2330,"-0.8072509765625","0.057373046875","-0.49267578125","-3.662109136581421","7.507323741912842","3.845214605331421","-15","21","-29","2"
2361,"-0.79150390625","0.05029296875","-0.4989013671875","-5.187987804412842","8.23974609375","2.685546636581421","-15","21","-29","2"
2395,"-0.80419921875","0.067138671875","-0.5032958984375","-1.5869139432907104","9.521484375","3.417968511581421","-15","21","-29","2"
2431,"-0.80419921875","0.05224609375","-0.5003662109375","3.051757574081421","8.544921875","1.5869139432907104","-16","23","-29","2"
2462,"-0.8309326171875","0.0538330078125","-0.50439453125","3.906249761581421","8.72802734375","-0.2441406100988388","-16","23","-29","2"
2497,"-0.8077392578125","0.041748046875","-0.4931640625","8.72802734375","11.352538108825684","-1.6479490995407104","-16","23","-29","2"
2528,"-0.7869873046875","0.02490234375","-0.491943359375","11.169432640075684","10.803221702575684","-3.356933355331421","-14","15","-25","2"
2559,"-0.799072265625","0.03173828125","-0.5023193359375","10.681151390075684","10.864256858825684","-3.784179449081421","-14","15","-25","2"
2590,"-0.8382568359375","0.0748291015625","-0.5023193359375","10.375975608825684","10.253905296325684","-5.126952648162842","-14","15","-25","2"
2623,"-0.8876953125","0.1143798828125","-0.5029296875","22.155759811401367","5.126952648162842","-5.920409679412842","-17","18","-25","2"
2654,"-0.9830322265625","0.12060546875","-0.5045166015625","30.883787155151367","2.197265625","-6.408690929412842","-17","18","-25","2"
2685,"-1.018798828125","0.1270751953125","-0.5042724609375","31.555173873901367","2.50244140625","-5.249022960662842","-17","18","-25","2"
2720,"-1.0048828125","0.103271484375","-0.4835205078125","31.799314498901367","0.6713866591453552","-5.371093273162842","-14","15","-17","2"
2754,"-0.9759521484375","0.10400390625","-0.46728515625","28.442380905151367","0.1831054538488388","-8.30078125","-14","15","-17","2"
2785,"-0.8956298828125","0.091064453125","-0.443115234375","34.72900390625","1.9531248807907104","-2.685546636581421","-14","15","-17","2"
2816,"-0.8245849609375","0.031982421875","-0.4022216796875","32.3486328125","-2.0751953125","0.30517578125","-14","15","-17","2"
2847,"-0.8641357421875","0.0919189453125","-0.3909912109375","22.644041061401367","-4.2724609375","3.845214605331421","-11","19","-21","2"
2878,"-0.908203125","0.1473388671875","-0.36279296875","24.780271530151367","-6.225585460662842","7.812499523162842","-11","19","-21","2"
2909,"-0.931640625","0.18798828125","-0.34912109375","31.433103561401367","-7.629394054412842","9.6435546875","-11","19","-21","2"
2940,"-0.894287109375","0.1915283203125","-0.3291015625","44.250484466552734","-3.784179449081421","15.197752952575684","-12","24","-27","2"
2971,"-0.82666015625","0.136474609375","-0.3212890625","42.297359466552734","-0.6103515625","16.357421875","-12","24","-27","2"
3002,"-0.8157958984375","0.14501953125","-0.32373046875","31.066892623901367","-1.2817381620407104","12.145995140075684","-12","24","-27","2"
3033,"-0.843994140625","0.1912841796875","-0.34521484375","28.137205123901367","-0.1831054538488388","12.084959983825684","-11","16","-21","2"
3064,"-0.8763427734375","0.2183837890625","-0.3677978515625","33.0810546875","0.1831054538488388","15.502928733825684","-11","16","-21","2"
3097,"-0.9046630859375","0.2325439453125","-0.3948974609375","39.97802734375","1.0986328125","20.935056686401367","-11","16","-21","2"
3128,"-0.91552734375","0.2412109375","-0.419677734375","41.748043060302734","0.54931640625","23.376462936401367","-11","19","-23","2"
3159,"-0.9361572265625","0.2628173828125","-0.451416015625","39.12353515625","-1.9531248807907104","24.902341842651367","-11","19","-23","2"
3190,"-0.9434814453125","0.26611328125","-0.4814453125","41.442867279052734","-3.417968511581421","27.404783248901367","-11","19","-23","2"
3221,"-0.95703125","0.265625","-0.4970703125","42.480464935302734","-6.103515148162842","28.442380905151367","-11","19","-23","2"
3252,"-0.9803466796875","0.27734375","-0.5166015625","40.649410247802734","-9.033203125","31.188962936401367","-12","25","-22","2"
3286,"-1.0098876953125","0.2822265625","-0.535400390625","41.870113372802734","-16.7236328125","34.97314453125","-12","25","-22","2"
3317,"-1.1077880859375","0.32177734375","-0.535400390625","49.194332122802734","-21.789548873901367","36.2548828125","-12","25","-22","2"
3348,"-1.0919189453125","0.2979736328125","-0.536865234375","67.5048828125","-22.216794967651367","44.555660247802734","-10","20","-24","2"
3379,"-0.9271240234375","0.149169921875","-0.5186767578125","75.5615234375","-12.634276390075684","50.842281341552734","-10","20","-24","2"
3410,"-0.688232421875","0.0145263671875","-0.4771728515625","65.73486328125","-13.854979515075684","36.31591796875","-10","20","-24","2"
3441,"-0.5897216796875","0.0458984375","-0.4285888671875","50.170894622802734","-31.494138717651367","-6.347655773162842","-13","18","-25","2"
3473,"-0.754150390625","0.1793212890625","-0.413330078125","72.6318359375","-52.490230560302734","-17.39501953125","-13","18","-25","2"
3509,"-0.9400634765625","0.150390625","-0.478271484375","97.83934783935547","-46.936031341552734","2.746581792831421","-13","18","-25","2"
3540,"-0.853515625","0.045166015625","-0.4464111328125","97.59520721435547","-36.2548828125","-0.4882812201976776","-12","21","-27","2"
3575,"-0.709228515625","-0.0216064453125","-0.452392578125","74.951171875","-31.433103561401367","-17.822265625","-12","21","-27","2"
3608,"-0.647705078125","0.03662109375","-0.4576416015625","45.043941497802734","-26.123044967651367","-29.418943405151367","-12","21","-27","2"
3639,"-0.6392822265625","0.1209716796875","-0.4962158203125","30.822751998901367","-19.22607421875","-23.742673873901367","-5","15","-30","2"
3670,"-0.675537109375","0.195068359375","-0.500244140625","27.954099655151367","-14.953612327575684","-12.207030296325684","-5","15","-30","2"
3704,"-0.7198486328125","0.2613525390625","-0.5347900390625","31.005857467651367","-5.065917491912842","-5.920409679412842","-5","15","-30","2"
3735,"-0.705810546875","0.207275390625","-0.5771484375","28.015134811401367","7.873534679412842","8.4228515625","-10","16","-30","2"
3771,"-0.7037353515625","0.1199951171875","-0.6053466796875","-11.779784202575684","12.756346702575684","-0.7934569716453552","-10","16","-30","2"
3802,"-0.7884521484375","0.342041015625","-0.6353759765625","-11.352538108825684","24.047849655151367","11.291502952575684","-10","16","-30","2"
3833,"-0.83349609375","0.2943115234375","-0.6319580078125","-12.390135765075684","24.963376998901367","13.305663108825684","-6","21","-27","2"
3864,"-0.910888671875","0.3184814453125","-0.6519775390625","-21.484373092651367","24.658201217651367","10.803221702575684","-6","21","-27","2"
3895,"-1.044677734375","0.3631591796875","-0.6656494140625","-17.7001953125","29.846189498901367","15.502928733825684","-6","21","-27","2"
3926,"-1.03125","0.3612060546875","-0.676513671875","-18.06640625","39.12353515625","26.306150436401367","-5","20","-32","2"
3957,"-0.896484375","0.2957763671875","-0.5911865234375","-23.498533248901367","41.809078216552734","25.634763717651367","-5","20","-32","2"
3988,"-0.8524169921875","0.3525390625","-0.50439453125","-32.89794921875","28.808591842651367","16.357421875","-5","20","-32","2"
4019,"-0.9554443359375","0.276611328125","-0.510986328125","-27.160642623901367","17.7001953125","11.474608421325684","-5","20","-32","2"
4050,"-1.0887451171875","0.18017578125","-0.4757080078125","-60.974117279052734","9.1552734375","-6.164550304412842","-7","25","-29","2"
4081,"-1.0379638671875","0.27001953125","-0.4072265625","-91.97997283935547","11.291502952575684","-26.794431686401367","-7","25","-29","2"
4112,"-0.8525390625","0.2701416015625","-0.3370361328125","-69.4580078125","2.685546636581421","-40.649410247802734","-7","25","-29","2"
4143,"-0.7166748046875","0.17724609375","-0.2916259765625","-51.513668060302734","-6.591796398162842","-39.61181640625","-9","17","-23","2"
4174,"-0.66796875","0.1058349609375","-0.253662109375","-56.335445404052734","-11.535643577575684","-40.283199310302734","-9","17","-23","2"
4205,"-0.695068359375","0.1866455078125","-0.239990234375","-61.035152435302734","-15.563963890075684","-34.11865234375","-9","17","-23","2"
4236,"-0.7769775390625","0.21240234375","-0.244384765625","-55.297847747802734","-16.29638671875","-21.972654342651367","-12","17","-27","2"
4269,"-0.8631591796875","0.2430419921875","-0.248779296875","-53.833003997802734","-19.6533203125","-19.287109375","-12","17","-27","2"
4304,"-0.8809814453125","0.2633056640625","-0.26611328125","-35.888671875","-15.747069358825684","-15.136717796325684","-12","17","-27","2"
4335,"-0.9404296875","0.2269287109375","-0.274658203125","-11.352538108825684","-15.441893577575684","-6.286620616912842","-10","17","-24","2"
4366,"-1.078857421875","0.1763916015625","-0.327880859375","-9.70458984375","-9.27734375","-1.7700194120407104","-10","17","-24","2"
