Time (ms),Accelerometer X (mGal),Accelerometer Y (mGal),Accelerometer Z (mGal),Gyro X,Gyro Y,Gyro Z,Magnetic X,Magnetic Y,Magnetic Z,Locomotion
223247, -0.70166016, 0.4489746, 0.6699219, 8.056641, -8.972168, 1.7089843, 15.0, 41.0, 64.0, 0
223270, -0.6873779, 0.43395996, 0.64331055, 4.333496, -4.638672, 0.42724606, 15.0, 41.0, 64.0, 0
223290, -0.6829834, 0.4182129, 0.6147461, 2.6245115, -2.9296873, 0.18310545, 15.0, 41.0, 64.0, 0
223310, -0.67419434, 0.41638184, 0.58569336, 0.61035156, -1.5258788, -0.7324218, 17.0, 38.0, 66.0, 0
223332, -0.66503906, 0.41125488, 0.5698242, -1.8920897, -1.6479491, -0.24414061, 17.0, 38.0, 66.0, 0
223351, -0.6660156, 0.40844727, 0.5579834, -4.211426, -2.6245115, 0.67138666, 17.0, 38.0, 66.0, 0
223377, -0.67626953, 0.413208, 0.5638428, -5.249023, -3.6621091, 0.48828122, 17.0, 38.0, 66.0, 0
223397, -0.6796875, 0.41394043, 0.5690918, -5.981445, -4.9438477, 0.48828122, 17.0, 38.0, 66.0, 0
223416, -0.68322754, 0.40441895, 0.5595703, -7.0190425, -6.774902, 1.5258788, 14.0, 39.0, 64.0, 0
223437, -0.69384766, 0.41748047, 0.5616455, -7.3242183, -6.347656, 1.2817382, 14.0, 39.0, 64.0, 0
223462, -0.69348145, 0.42565918, 0.5605469, -5.4321284, -6.469726, 0.793457, 14.0, 39.0, 64.0, 0
223480, -0.6949463, 0.41503906, 0.57141113, -2.5024414, -5.981445, -0.061035153, 14.0, 39.0, 64.0, 0
223495, -0.69384766, 0.41235352, 0.58081055, -0.30517578, -5.4931636, -0.67138666, 14.0, 39.0, 64.0, 0
223517, -0.6904297, 0.4206543, 0.59155273, 5.737304, -4.5166016, -1.586914, 16.0, 37.0, 61.0, 0
223540, -0.67614746, 0.41711426, 0.642334, 7.263183, -1.7700194, -2.0141602, 16.0, 37.0, 61.0, 0
223562, -0.6895752, 0.44799805, 0.72094727, 10.009766, 3.173828, -3.2958982, 16.0, 37.0, 61.0, 0
223580, -0.727417, 0.4666748, 0.80322266, 16.296387, 11.230468, -5.8593745, 16.0, 37.0, 61.0, 0
223594, -0.73742676, 0.4711914, 0.8104248, 19.592285, 15.8081045, -7.202148, 16.0, 37.0, 61.0, 0
223616, -0.7294922, 0.46081543, 0.7675781, 21.850584, 24.475096, -8.117676, 19.0, 36.0, 64.0, 0
223640, -0.7142334, 0.41516113, 0.72766113, 17.39502, 38.269043, -7.8124995, 19.0, 36.0, 64.0, 0
223659, -0.6986084, 0.44189453, 0.76586914, 15.441894, 43.518063, -9.094238, 19.0, 36.0, 64.0, 0
