"Time (ms)","Accelerometer X (mGal)","Accelerometer Y (mGal)","Accelerometer Z (mGal)","Gyro X","Gyro Y","Gyro Z","Magnetic X","Magnetic Y","Magnetic Z","Locomotion"
1717,"-0.8822021484375","0.26953125","-0.37841796875","3.906249761581421","-1.7700194120407104","-7.019042491912842","8","-12","-23","407"
1751,"-0.86865234375","0.273681640625","-0.3856201171875","3.967284917831421","0.2441406100988388","0.1831054538488388","8","-12","-23","407"
1785,"-0.851318359375","0.3013916015625","-0.3487548828125","7.263183116912842","0.6103515625","6.958007335662842","6","-10","-25","407"
1819,"-0.85693359375","0.270263671875","-0.3511962890625","8.30078125","-1.4648436307907104","10.314940452575684","6","-10","-25","407"
1855,"-0.8543701171875","0.286376953125","-0.361083984375","0.3662109076976776","-2.929687261581421","6.225585460662842","6","-10","-25","407"
1890,"-0.858154296875","0.32470703125","-0.3553466796875","7.385253429412842","-0.30517578125","8.4228515625","5","-3","-30","407"
1925,"-0.851806640625","0.3238525390625","-0.377685546875","5.187987804412842","-0.9155272841453552","8.544921875","5","-3","-30","407"
1961,"-0.852294921875","0.3323974609375","-0.377197265625","2.746581792831421","0.3662109076976776","8.544921875","5","-3","-30","407"
1999,"-0.8485107421875","0.3341064453125","-0.369384765625","2.38037109375","2.746581792831421","5.493163585662842","2","-9","-30","407"
2033,"-0.850830078125","0.3121337890625","-0.37841796875","7.324218273162842","2.0751953125","-3.417968511581421","2","-9","-30","407"
2067,"-0.87841796875","0.340576171875","-0.3726806640625","5.371093273162842","1.5258787870407104","-6.042479991912842","2","-9","-30","407"
2101,"-0.8402099609375","0.349853515625","-0.3594970703125","8.85009765625","1.4038084745407104","-3.723144292831421","4","-2","-26","407"
2135,"-0.8900146484375","0.3060302734375","-0.362060546875","8.23974609375","-0.7934569716453552","-2.197265625","4","-2","-26","407"
2169,"-0.8565673828125","0.3326416015625","-0.356689453125","7.812499523162842","2.50244140625","0.1831054538488388","1","-5","-31","407"
2205,"-0.837646484375","0.359130859375","-0.3604736328125","4.2724609375","1.8310545682907104","0.4272460639476776","1","-5","-31","407"
2239,"-0.7823486328125","0.4005126953125","-0.3336181640625","0","7.751464366912842","-6.347655773162842","1","-5","-31","407"
2273,"-0.8394775390625","0.5115966796875","-0.334716796875","-18.49365234375","7.202147960662842","-26.000974655151367","3","-5","-25","407"
2307,"-0.81396484375","0.703125","-0.4268798828125","-42.175289154052734","9.1552734375","-43.884273529052734","3","-5","-25","407"
2341,"-0.7191162109375","0.7689208984375","-0.474853515625","-69.091796875","12.023924827575684","-67.32177734375","3","-5","-25","407"
2375,"-0.69189453125","0.99951171875","-0.5643310546875","-55.297847747802734","-4.638671875","-79.16259765625","2","-5","-28","407"
2415,"-0.7681884765625","0.85791015625","-0.5902099609375","-29.113767623901367","-16.66259765625","-74.76806640625","2","-5","-28","407"
2449,"-0.7059326171875","0.97265625","-0.662841796875","-60.974117279052734","-16.29638671875","-108.21532440185547","2","-5","-28","407"
2483,"-0.7794189453125","0.9390869140625","-0.6954345703125","-39.12353515625","-38.63525390625","-113.22020721435547","7","-4","-24","407"
2517,"-0.79248046875","0.7769775390625","-0.7242431640625","-105.22460174560547","-30.944822311401367","-133.36181640625","7","-4","-24","407"
2552,"-0.7510986328125","0.9739990234375","-0.8212890625","-64.14794921875","-87.58544158935547","-133.11767578125","7","-4","-24","407"
2588,"-0.90283203125","1.021240234375","-0.829345703125","-22.277830123901367","-73.42529296875","-145.263671875","14","-17","-32","407"
2626,"-0.784912109375","0.9283447265625","-0.7177734375","80.50536346435547","-81.97020721435547","-162.17039489746094","14","-17","-32","407"
