"Time (ms)","Accelerometer X (mGal)","Accelerometer Y (mGal)","Accelerometer Z (mGal)","Gyro X","Gyro Y","Gyro Z","Magnetic X","Magnetic Y","Magnetic Z","Locomotion"
1759,"0.2745361328125","0.918212890625","0.443603515625","-60.363765716552734","87.70751190185547","19.71435546875","46","5","-12","404"
1793,"0.3463134765625","0.888427734375","0.2958984375","-31.616209030151367","73.30322265625","31.005857467651367","44","5","-13","404"
1827,"0.215087890625","0.77783203125","0.2813720703125","-82.94676971435547","84.77782440185547","6.286620616912842","44","5","-13","404"
1863,"0.2513427734375","0.8687744140625","0.20654296875","-113.34227752685547","94.54344940185547","-14.892577171325684","43","4","-22","404"
1897,"0.2352294921875","0.9312744140625","0.1864013671875","-96.25243377685547","88.13475799560547","-8.4228515625","43","4","-22","404"
1931,"0.1544189453125","0.7626953125","0.046875","-103.33251190185547","92.34618377685547","-8.30078125","43","4","-22","404"
1965,"0.230712890625","0.8524169921875","-0.0859375","-156.06689453125","117.79784393310547","-48.828121185302734","41","6","-31","404"
1999,"0.2938232421875","0.799072265625","-0.203857421875","-140.56396484375","105.28563690185547","-42.419429779052734","41","6","-31","404"
2033,"0.2982177734375","0.905029296875","-0.322509765625","-143.6767578125","111.26708221435547","-20.01953125","41","6","-31","404"
2067,"0.225830078125","0.785400390625","-0.3956298828125","-134.46044921875","89.84374237060547","2.685546636581421","43","12","-43","404"
2101,"0.22607421875","0.7757568359375","-0.4619140625","-116.76024627685547","89.35546112060547","4.8828125","43","12","-43","404"
2135,"0.2193603515625","0.699951171875","-0.5740966796875","-147.27783203125","83.25194549560547","12.695311546325684","43","12","-43","404"
2169,"0.23046875","0.680908203125","-0.65673828125","-140.9912109375","65.7958984375","20.141599655151367","37","10","-47","404"
2203,"0.151123046875","0.662841796875","-0.66845703125","-123.65721893310547","75.1953125","1.5258787870407104","37","10","-47","404"
2241,"0.1527099609375","0.8204345703125","-0.736328125","-98.44969940185547","66.2841796875","-31.249998092651367","37","10","-47","404"
2277,"0.114013671875","0.9071044921875","-0.77001953125","-72.1435546875","49.255367279052734","-13.916014671325684","30","21","-53","404"
2345,"0.0888671875","0.9251708984375","-0.814697265625","-44.616695404052734","19.34814453125","-39.12353515625","30","21","-53","404"
2380,"0.0478515625","0.8804931640625","-0.7880859375","-56.274410247802734","21.606443405151367","-67.9931640625","25","13","-61","404"
2414,"0.03271484375","0.8740234375","-0.750732421875","-73.05908203125","14.526366233825684","-103.27147674560547","25","13","-61","404"
2449,"-0.0111083984375","0.7620849609375","-0.7459716796875","-70.1904296875","16.6015625","-122.74169158935547","25","13","-61","404"
2483,"-0.0133056640625","0.609130859375","-0.7664794921875","-66.162109375","19.04296875","-147.0947265625","22","13","-61","404"
2517,"0.027099609375","0.449951171875","-0.7896728515625","-54.138179779052734","33.38623046875","-150.81787109375","22","13","-61","404"
2551,"0.08349609375","0.43212890625","-0.8004150390625","-57.128902435302734","38.818359375","-145.99609375","22","13","-61","404"
2585,"0.058837890625","0.35009765625","-0.8221435546875","-46.936031341552734","36.7431640625","-123.47411346435547","18","15","-68","404"
2619,"0.08251953125","0.3292236328125","-0.8411865234375","-26.977537155151367","36.43798828125","-120.72753143310547","18","15","-68","404"
2653,"0.125732421875","0.2344970703125","-0.903564453125","-6.225585460662842","23.742673873901367","-113.95262908935547","18","15","-68","404"
2687,"0.0972900390625","0.1436767578125","-0.9281005859375","1.03759765625","21.667478561401367","-107.36083221435547","18","11","-58","404"
2722,"0.148193359375","0.125","-0.9132080078125","-0.4272460639476776","22.949216842651367","-106.87255096435547","18","11","-58","404"
2756,"0.1148681640625","0.1019287109375","-0.9610595703125","-2.685546636581421","11.291502952575684","-90.02684783935547","18","11","-58","404"
2790,"0.1043701171875","0.05078125","-0.9512939453125","-15.808104515075684","22.094724655151367","-82.82469940185547","22","5","-60","404"
2825,"0.109619140625","0.0672607421875","-0.976806640625","-33.63037109375","14.770506858825684","-84.35057830810547","22","5","-60","404"
2859,"0.0712890625","0.055419921875","-0.964599609375","-29.663084030151367","20.141599655151367","-83.55712127685547","22","5","-60","404"
2893,"0.079833984375","0.0069580078125","-0.9752197265625","-14.038084983825684","17.2119140625","-85.69335174560547","22","-5","-56","404"
2927,"0.0350341796875","-0.010986328125","-0.92431640625","-15.991209983825684","12.695311546325684","-75.3173828125","22","-5","-56","404"
2962,"0.077392578125","-0.08154296875","-0.96533203125","0.8544921278953552","4.94384765625","-64.14794921875","22","-5","-56","404"
2996,"0.028564453125","-0.11328125","-0.99072265625","-11.108397483825684","0.4272460639476776","-53.894039154052734","21","-9","-61","404"
