"Time (ms)","Accelerometer X (mGal)","Accelerometer Y (mGal)","Accelerometer Z (mGal)","Gyro X","Gyro Y","Gyro Z","Magnetic X","Magnetic Y","Magnetic Z","Locomotion"
1699,"0.2718505859375","-1.0137939453125","-0.261962890625","6.652831554412842","0.7324218153953552","9.82666015625","-35","-24","-38","405"
1733,"0.3013916015625","-1.0439453125","-0.285400390625","5.981444835662842","1.4648436307907104","13.610838890075684","-35","-24","-38","405"
1767,"0.3052978515625","-0.97412109375","-0.279296875","1.2817381620407104","-1.8920897245407104","14.892577171325684","-35","-24","-38","405"
1804,"0.3031005859375","-1.0859375","-0.284912109375","16.41845703125","-2.01416015625","32.65380859375","-35","-28","-38","405"
1839,"0.3486328125","-1.06103515625","-0.3070068359375","13.427733421325684","-3.784179449081421","39.1845703125","-35","-28","-38","405"
1873,"0.354736328125","-1.131103515625","-0.305419921875","18.310546875","-7.629394054412842","59.692378997802734","-35","-28","-38","405"
1907,"0.4083251953125","-1.0914306640625","-0.3345947265625","11.962889671325684","-11.535643577575684","64.39208984375","-29","-31","-38","405"
1943,"0.4237060546875","-1.09814453125","-0.3172607421875","12.634276390075684","-15.258788108825684","72.3876953125","-29","-31","-38","405"
1980,"0.4378662109375","-0.9107666015625","-0.3333740234375","19.1650390625","-17.578125","76.7822265625","-26","-31","-40","405"
2014,"0.47509765625","-0.91015625","-0.2613525390625","28.503416061401367","-15.747069358825684","95.09276580810547","-26","-31","-40","405"
2048,"0.57568359375","-0.9210205078125","-0.2633056640625","37.17041015625","-13.549803733825684","97.65624237060547","-26","-31","-40","405"
2082,"0.5556640625","-0.888427734375","-0.2425537109375","15.747069358825684","-16.90673828125","74.52392578125","-18","-39","-34","405"
2118,"0.6385498046875","-0.6947021484375","-0.3348388671875","45.227046966552734","-15.136717796325684","54.199214935302734","-18","-39","-34","405"
2152,"0.62890625","-0.8450927734375","-0.35791015625","36.865234375","-14.282225608825684","89.96581268310547","-18","-39","-34","405"
2186,"0.6524658203125","-0.746337890625","-0.4013671875","22.033689498901367","-20.080564498901367","97.10692596435547","-14","-35","-37","405"
2220,"0.6248779296875","-0.5509033203125","-0.3284912109375","-9.46044921875","-24.963376998901367","81.23778533935547","-14","-35","-37","405"
2254,"0.759765625","-0.5244140625","-0.3636474609375","19.6533203125","-17.7001953125","93.32274627685547","-14","-35","-37","405"
2288,"0.6951904296875","-0.5029296875","-0.2806396484375","43.457027435302734","-17.88330078125","98.63280487060547","-5","-37","-35","405"
2322,"0.8687744140625","-0.5010986328125","-0.25244140625","54.382320404052734","-9.09423828125","94.66551971435547","-5","-37","-35","405"
2360,"0.779296875","-0.4144287109375","-0.216064453125","35.400390625","-9.521484375","85.99852752685547","-5","-37","-35","405"
2394,"0.95263671875","-0.392822265625","-0.4151611328125","50.476070404052734","-13.305663108825684","77.5146484375","2","-39","-36","405"
2429,"0.847900390625","-0.421875","-0.1787109375","-16.41845703125","-18.310546875","91.73583221435547","2","-39","-36","405"
2464,"0.959228515625","-0.183349609375","-0.3536376953125","-21.301267623901367","-7.690429210662842","58.227535247802734","2","-39","-36","405"
2498,"0.9222412109375","-0.32470703125","-0.2724609375","-23.010251998901367","-22.155759811401367","89.96581268310547","6","-30","-34","405"
2536,"0.8311767578125","-0.1571044921875","-0.1964111328125","-64.51416015625","-15.991209983825684","75.86669921875","6","-30","-34","405"
2571,"0.8837890625","0.104248046875","-0.261962890625","-49.499507904052734","-5.493163585662842","59.143062591552734","6","-30","-34","405"
2606,"0.946533203125","-0.0523681640625","-0.26123046875","1.15966796875","1.4038084745407104","57.495113372802734","8","-33","-39","405"
2640,"0.943359375","-0.2161865234375","-0.3804931640625","-6.164550304412842","-3.112792730331421","58.654781341552734","8","-33","-39","405"
2674,"0.9376220703125","-0.1456298828125","-0.2742919921875","-53.710933685302734","-3.051757574081421","62.927242279052734","8","-33","-39","405"
2708,"0.8583984375","0.0230712890625","-0.296630859375","-44.555660247802734","-0.8544921278953552","63.903804779052734","12","-34","-35","405"
2743,"0.7191162109375","0.2244873046875","-0.2362060546875","-42.785640716552734","5.249022960662842","40.527339935302734","12","-34","-35","405"
2777,"0.95849609375","-0.14453125","-0.45654296875","18.06640625","10.070799827575684","28.320310592651367","12","-34","-35","405"
2811,"0.82373046875","-0.00830078125","-0.2440185546875","-47.241207122802734","-9.58251953125","26.367185592651367","13","-32","-36","405"
2845,"0.9539794921875","0.0400390625","-0.379638671875","-30.273435592651367","2.807616949081421","10.375975608825684","13","-32","-36","405"
2883,"0.837158203125","0.03955078125","-0.2750244140625","-63.293453216552734","-8.544921875","12.512206077575684","9","-33","-39","405"
2917,"0.9696044921875","0.098388671875","-0.360595703125","0.9155272841453552","0","-2.13623046875","9","-33","-39","405"
2952,"0.8709716796875","-0.01123046875","-0.2169189453125","-21.057126998901367","-11.779784202575684","12.573241233825684","9","-33","-39","405"
2986,"0.94189453125","0.141357421875","-0.249755859375","39.73388671875","1.4648436307907104","-4.7607421875","9","-37","-36","405"
3020,"0.9119873046875","-0.042236328125","-0.2650146484375","43.273921966552734","-9.21630859375","1.8920897245407104","9","-37","-36","405"
3054,"0.999755859375","0.0087890625","-0.3475341796875","38.26904296875","-2.868652105331421","-4.21142578125","9","-37","-36","405"
3088,"1.0029296875","-0.1832275390625","-0.266845703125","14.831542015075684","-20.324705123901367","7.995604991912842","11","-35","-35","405"
3122,"0.932861328125","0.2210693359375","-0.222412109375","-10.620116233825684","-15.136717796325684","3.112792730331421","11","-35","-35","405"
3156,"0.980224609375","-0.0823974609375","-0.2987060546875","40.283199310302734","-24.108884811401367","-11.108397483825684","11","-35","-35","405"
3190,"0.85205078125","0.103515625","-0.177734375","9.09423828125","-14.648436546325684","-11.413573265075684","13","-31","-38","405"
3224,"0.9271240234375","0.158447265625","-0.286865234375","33.203125","-10.253905296325684","-27.709959030151367","13","-31","-38","405"
3261,"0.82080078125","0.1793212890625","-0.247314453125","47.790523529052734","-14.526366233825684","-50.292964935302734","13","-31","-38","405"
